"restaurant,text,taste_label,clean_label,service_label"
"구구족 용인기흥점,포장은 깔끔했는데 보쌈이 너무 얇고 퍽퍽해서 돈이 아까운 느낌이었습니다.,부정,긍정,부정"
"구구족 용인기흥점,매운 순살이 부드럽긴 했지만 가격 대비 양이 아쉬웠어요.,부정,긍정,부정"
"구구족 용인기흥점,맛은 괜찮지만 청결과 서비스가 많이 아쉬웠어요.,긍정,부정,부정"
"피자스쿨 강남대점,고구마 피자가 가성비 좋고 항상 맛있게 잘 먹고 있습니다.,긍정,긍정,긍정"
"김밥천국 강남대점,참치김밥은 맛있는데 반찬통을 계속 열어놔서 청결이 걱정됐어요.,긍정,부정,부정"
"김밥천국 강남대점,맛은 기본 이상인데 위생이랑 서비스는 솔직히 많이 아쉬웠습니다.,긍정,부정,부정"
"청궁,짬뽕이 진하고 맛있지만 물병 상태가 좋지 않아 아쉬웠습니다.,긍정,부정,긍정"
"청궁,맛은 좋은 편인데 위생 관리만 조금 더 신경 써주시면 좋을 것 같아요.,긍정,부정,긍정"
"보영만두 강남대직영점,쫄면이랑 군만두 조합이 정말 맛있고 양도 넉넉했어요.,긍정,긍정,긍정"
"미소야,알밥정식 구성이 알차고 김치나베우동전골도 칼칼해서 맛있었어요.,긍정,긍정,긍정"
"호식당,호카레랑 반찬 구성이 푸짐하고 밥이랑 카레 리필도 돼서 만족스러웠어요.,긍정,긍정,긍정"
"롯데리아 강남대점,불고기버거랑 토네이도 아이스크림 조합이 최고입니다.,긍정,긍정,긍정"
"봉추찜닭,찜닭 양념이 밥이랑 너무 잘 어울려서 주먹밥이랑 같이 먹기 좋아요.,긍정,긍정,긍정"
"구구족 용인기흥점,구구족 용인기흥점은(는) 가격 대비 맛이 아쉬워서 다시 방문할지는 모르겠습니다.,부정,긍정,부정"
"구구족 용인기흥점,구구족 용인기흥점은(는) 기대보다 맛이 많이 떨어져서 실망했어요.,부정,긍정,부정"
"구구족 용인기흥점,구구족 용인기흥점은(는) 특별히 인상적인 맛이 아니어서 기억에 잘 남지 않았습니다.,부정,긍정,부정"
"구구족 용인기흥점,구구족 용인기흥점은(는) 양도 애매하고 맛도 애매해서 추천하기는 힘들 것 같아요.,부정,긍정,부정"
"구구족 용인기흥점,구구족 용인기흥점은(는) 음식과 서비스는 만족스럽지만 위생만 조금 더 신경 쓰면 좋겠어요.,긍정,부정,긍정"
"구구족 용인기흥점,구구족 용인기흥점은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"구구족 용인기흥점,구구족 용인기흥점에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"구구족 용인기흥점,구구족 용인기흥점은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"구구족 용인기흥점,구구족 용인기흥점은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"피자스쿨 강남대점,피자스쿨 강남대점은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"피자스쿨 강남대점,피자스쿨 강남대점에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"피자스쿨 강남대점,피자스쿨 강남대점은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"피자스쿨 강남대점,피자스쿨 강남대점은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"피자스쿨 강남대점,피자스쿨 강남대점은(는) 자주 가는 맛집까지는 아니지만 나쁘지는 않았어요.,긍정,긍정,긍정"
"김밥천국 강남대점,김밥천국 강남대점은(는) 맛이랑 친절도는 좋은데 매장 청결이 다소 아쉽습니다.,긍정,부정,긍정"
"김밥천국 강남대점,김밥천국 강남대점에서 먹은 메뉴는 맛있었고 직원도 친절했지만 물병 상태가 별로였어요.,긍정,부정,긍정"
"김밥천국 강남대점,김밥천국 강남대점은(는) 다시 가고 싶지만 청소 상태가 개선되면 더 좋을 것 같아요.,긍정,부정,긍정"
"김밥천국 강남대점,김밥천국 강남대점은(는) 전반적으로 균형 잡힌 좋은 식당입니다.,긍정,긍정,긍정"
"김밥천국 강남대점,김밥천국 강남대점은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"김밥천국 강남대점,김밥천국 강남대점은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"청궁,청궁은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"청궁,청궁에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"청궁,청궁은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"청궁,청궁은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"청궁,청궁은(는) 가볍게 한 끼 먹기에는 무난한 편입니다.,긍정,긍정,긍정"
"보영만두 강남대직영점,보영만두 강남대직영점은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"보영만두 강남대직영점,보영만두 강남대직영점은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"보영만두 강남대직영점,보영만두 강남대직영점에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"보영만두 강남대직영점,보영만두 강남대직영점은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"보영만두 강남대직영점,보영만두 강남대직영점은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"미소야,미소야는(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"미소야,미소야는(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"미소야,미소야에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"미소야,미소야는(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"미소야,미소야는(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"호식당,호식당은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"호식당,호식당은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"호식당,호식당에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"호식당,호식당은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"호식당,호식당은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"롯데리아 강남대점,롯데리아 강남대점은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"롯데리아 강남대점,롯데리아 강남대점은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"롯데리아 강남대점,롯데리아 강남대점에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"롯데리아 강남대점,롯데리아 강남대점은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"롯데리아 강남대점,롯데리아 강남대점은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"봉추찜닭,봉추찜닭은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"봉추찜닭,봉추찜닭은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"봉추찜닭,봉추찜닭에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"봉추찜닭,봉추찜닭은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"봉추찜닭,봉추찜닭은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"본가보쌈,본가보쌈은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"본가보쌈,본가보쌈은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"본가보쌈,본가보쌈에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"본가보쌈,본가보쌈은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"본가보쌈,본가보쌈은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"삼원가든,삼원가든은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"삼원가든,삼원가든은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"삼원가든,삼원가든에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"삼원가든,삼원가든은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"삼원가든,삼원가든은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"박가네부대찌개,박가네부대찌개는(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"박가네부대찌개,박가네부대찌개는(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"박가네부대찌개,박가네부대찌개에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"박가네부대찌개,박가네부대찌개는(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"박가네부대찌개,박가네부대찌개는(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"구갈한우국밥,구갈한우국밥은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"구갈한우국밥,구갈한우국밥은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"구갈한우국밥,구갈한우국밥에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"구갈한우국밥,구갈한우국밥은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"구갈한우국밥,구갈한우국밥은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"왕십리 곱창,왕십리 곱창은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"왕십리 곱창,왕십리 곱창은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"왕십리 곱창,왕십리 곱창에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"왕십리 곱창,왕십리 곱창은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"왕십리 곱창,왕십리 곱창은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"구반포국밥,구반포국밥은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"구반포국밥,구반포국밥은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"구반포국밥,구반포국밥에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"구반포국밥,구반포국밥은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"구반포국밥,구반포국밥은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"백채김치찌개,백채김치찌개는(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"백채김치찌개,백채김치찌개는(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"백채김치찌개,백채김치찌개에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"백채김치찌개,백채김치찌개는(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"백채김치찌개,백채김치찌개는(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"시래기 한상,시래기 한상은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"시래기 한상,시래기 한상은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"시래기 한상,시래기 한상에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"시래기 한상,시래기 한상은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"시래기 한상,시래기 한상은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"옛날집순대국,옛날집순대국은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"옛날집순대국,옛날집순대국은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"옛날집순대국,옛날집순대국에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"옛날집순대국,옛날집순대국은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"옛날집순대국,옛날집순대국은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"이모네밥상,이모네밥상은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"이모네밥상,이모네밥상은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"이모네밥상,이모네밥상에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"이모네밥상,이모네밥상은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"이모네밥상,이모네밥상은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"능평골돼지국밥,능평골돼지국밥은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"능평골돼지국밥,능평골돼지국밥은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"능평골돼지국밥,능평골돼지국밥에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"능평골돼지국밥,능평골돼지국밥은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"능평골돼지국밥,능평골돼지국밥은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"양평해장국 기흥점,양평해장국 기흥점은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"양평해장국 기흥점,양평해장국 기흥점은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"양평해장국 기흥점,양평해장국 기흥점에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"양평해장국 기흥점,양평해장국 기흥점은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"양평해장국 기흥점,양평해장국 기흥점은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"야마야라멘,야마야라멘은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"야마야라멘,야마야라멘은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"야마야라멘,야마야라멘에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"야마야라멘,야마야라멘은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"야마야라멘,야마야라멘은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"멘무샤,멘무샤은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"멘무샤,멘무샤은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"멘무샤,멘무샤에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"멘무샤,멘무샤은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"멘무샤,멘무샤은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"갓덴스시,갓덴스시는(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"갓덴스시,갓덴스시는(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"갓덴스시,갓덴스시에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"갓덴스시,갓덴스시는(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"갓덴스시,갓덴스시는(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"회기연어 강남대점,회기연어 강남대점은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"회기연어 강남대점,회기연어 강남대점은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"회기연어 강남대점,회기연어 강남대점에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"회기연어 강남대점,회기연어 강남대점은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"회기연어 강남대점,회기연어 강남대점은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"쿠우쿠우 강남대점,쿠우쿠우 강남대점은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"쿠우쿠우 강남대점,쿠우쿠우 강남대점은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"쿠우쿠우 강남대점,쿠우쿠우 강남대점에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"쿠우쿠우 강남대점,쿠우쿠우 강남대점은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"쿠우쿠우 강남대점,쿠우쿠우 강남대점은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"무한초밥 스시노백쉐프,무한초밥 스시노백쉐프는(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"무한초밥 스시노백쉐프,무한초밥 스시노백쉐프는(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"무한초밥 스시노백쉐프,무한초밥 스시노백쉐프에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"무한초밥 스시노백쉐프,무한초밥 스시노백쉐프는(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"무한초밥 스시노백쉐프,무한초밥 스시노백쉐프는(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"엔타츠라멘,엔타츠라멘은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"엔타츠라멘,엔타츠라멘은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"엔타츠라멘,엔타츠라멘에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"엔타츠라멘,엔타츠라멘은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"엔타츠라멘,엔타츠라멘은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"마라하오,마라하오는(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"마라하오,마라하오는(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"마라하오,마라하오에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"마라하오,마라하오는(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"마라하오,마라하오는(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"오발탄돈까스,오발탄돈까스은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"오발탄돈까스,오발탄돈까스은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"오발탄돈까스,오발탄돈까스에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"오발탄돈까스,오발탄돈까스은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"오발탄돈까스,오발탄돈까스은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"니혼카레,니혼카레은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"니혼카레,니혼카레은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"니혼카레,니혼카레에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"니혼카레,니혼카레은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"니혼카레,니혼카레은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
"킹콩부대찌개,킹콩부대찌개은(는) 음식도 맛있고 가게도 깔끔해서 자주 오고 싶어요.,긍정,긍정,긍정"
"킹콩부대찌개,킹콩부대찌개은(는) 맛, 청결, 서비스 모두 만족스러웠습니다.,긍정,긍정,긍정"
"킹콩부대찌개,킹콩부대찌개에서 식사하면 항상 기분 좋게 한 끼 해결할 수 있어요.,긍정,긍정,긍정"
"킹콩부대찌개,킹콩부대찌개은(는) 가격 대비 퀄리티가 좋아서 친구들에게도 추천하는 곳입니다.,긍정,긍정,긍정"
"킹콩부대찌개,킹콩부대찌개은(는) 직원분도 친절하고 음식도 빨리 나와서 좋아요.,긍정,긍정,긍정"
